lat,ceph01_volume-0f9251c6-b47b-47cd-8d82-6b9e40dcb47d,ceph01_volume-14df5c45-05ec-4948-8b37-b0a75f45f39f,ceph01_volume-17d8eb9d-b2f0-47c6-ad31-677d68f273b9,ceph01_volume-2325319c-20a4-42bc-a276-a23979295249,ceph01_volume-23d22056-4d10-4ea7-a524-738a10df0ae7,ceph01_volume-2410935d-498e-4e8f-af6a-267ee8652592,ceph01_volume-27c40d03-e47f-4493-a341-ca7b9877096c,ceph01_volume-3a348ac5-c173-4be3-a48b-41863d612a5b,ceph01_volume-3a50cef3-a9e8-4a80-91c5-98650b3ae9cc,ceph01_volume-3d2c8a4a-c251-43db-af53-0c56e925634c,ceph01_volume-3ddbbee3-7fa4-4412-a235-7c06bd55d280,ceph01_volume-46699afd-79a7-4533-b001-0b3d0e48846e,ceph02_volume-4d3fb549-56c0-4b92-8ed2-5c68a0ce7323,ceph02_volume-528ad611-1b5f-467c-94bb-9d12a200ac7d,ceph02_volume-572a1623-8e19-48d2-a446-30d0b70ba1f7,ceph02_volume-5f7be806-1865-4ae4-81c7-fd5c0681c62b,ceph02_volume-63b287ff-773b-4afb-86b1-3be67ce0a368,ceph02_volume-651d9c42-a8a5-48a3-a00e-f28b16334518,ceph02_volume-68876b21-5e5b-4616-a1d4-df8a458be420,ceph02_volume-6f9ee210-882b-4743-8d96-c041085512c1,ceph02_volume-77fddc94-2a92-4018-8862-6cad679f90ba,ceph02_volume-790ba75e-0cb9-4c05-bb1a-5b9dd760b188,ceph02_volume-81137809-6c5c-46ee-82e1-65c37fe79c2f,ceph02_volume-81364064-4601-4015-ac99-51b9064d68b8,ceph03_volume-8646ab1f-ca66-4007-88a8-202664786297,ceph03_volume-89e41357-2136-4563-9422-8b35664430e8,ceph03_volume-9594445c-4de7-43b7-935d-11ac9e565647,ceph03_volume-96bd0904-5227-44fc-b993-d78e5770e887,ceph03_volume-98094404-11f0-4079-8946-ef23d339f614,ceph03_volume-9d114a88-0fbe-4634-b63b-8c21a2f4fecb,ceph03_volume-a4b2ee3d-ea47-4036-8784-b28d803eca52,ceph03_volume-a4c83135-44f6-4343-9564-45f3bc141860,ceph03_volume-a694efda-3177-44fc-925c-e8658af52ba3,ceph03_volume-b6cfbcca-5a67-4b17-aa25-c7c768755e4d,ceph03_volume-b805fad5-325d-4e9b-9364-51514f3c7d9d,ceph03_volume-b80a9d9b-a5fe-4d14-86e6-764dc9b823e7,ceph04_volume-b83d8b50-d0dd-4528-89ef-a2e8ca8474d4,ceph04_volume-c117ee3d-d52c-4034-97d8-53fe9fce41bd,ceph04_volume-c29c35b0-6cab-48c1-b44d-1fa91a46981f,ceph04_volume-c5265c8a-1f4f-4641-80a9-569915133bd7,ceph04_volume-c89efedf-dac7-40dc-9b0e-daf57df871e9,ceph04_volume-d1b62d52-1ed9-4880-9fab-ef3a6911c614,ceph04_volume-e7609d93-cf74-4908-9a07-dad1541298c1,ceph04_volume-ea8d61dc-14a0-4065-b55e-a4bb4bdaa3d7,ceph04_volume-eb7a2798-ea0f-46af-ab9a-f78cd559203d,ceph04_volume-ef064ec8-d1e3-4d72-82a5-7c4ba53c05d0,ceph04_volume-f82e661e-b776-4645-af92-18fd00b66f26,ceph04_volume-fe7cf3bd-7e6c-4fbb-9be9-457c5c2f23e5
157,26667,3397,11748,9307,60221,4900,3435,13315,5448,12386,10211,8355,3862,3918,9069,4479,48577,10932,3032,15163,8829,5693,53358,1798,8721,37750,7851,6130,5924,9869,20135,20041,6057,11414,10061,1342,4428,10876,3938,59299,9678,8972,8109,8730,11769,7782,9811,4869
158,9423,5759,5116,14929,6492,29917,8048,3828,28434,5051,32518,23727,4169,23994,22658,5497,3174,9055,15434,2888,1955,20817,5009,29532,14586,29662,4760,20756,29163,2229,47079,31433,6927,24257,20196,4786,6983,5971,3922,26717,9831,10799,2357,17960,30850,4945,3334,4138
159,6394,11952,13807,1457,5769,39979,8579,26736,6203,14558,28648,30138,18282,2439,6962,28156,15773,56504,1959,2065,41707,39762,5400,11859,25808,3843,1087,24302,2289,5164,11416,27749,27983,2933,41758,3122,18757,4215,28589,39365,3666,3648,3583,5491,36196,1623,7282,9313
160,41995,15231,7333,5680,5995,6647,2506,6162,6885,14362,9037,4434,8139,6045,20657,7965,10146,8690,8777,8282,8182,3414,9059,10480,15817,9970,10377,8826,1618,5028,5793,5458,10605,6736,8759,40312,8481,6933,4721,16011,4951,3078,8140,12985,9783,12587,9067,7639
161,4863,11961,13106,12558,16602,13627,8505,9936,11295,7379,6919,9290,4285,5376,5010,6063,4589,8644,5960,9107,5015,9165,5718,16401,5500,15185,9293,11589,10250,9689,8943,4151,12407,7778,14325,29826,6508,6310,8894,11441,5585,3560,4996,7439,8364,9215,7733,6128
162,7104,2593,4083,5704,23475,3521,4777,17530,3246,26702,2332,12227,12400,10641,3846,11610,12373,5967,22139,9740,5484,8321,4852,4764,10130,3884,13117,13848,12874,5132,4096,51050,3990,17184,6318,16063,29851,4216,8292,12064,4374,23402,5787,5270,20400,1989,6971,4605
163,2842,3797,54080,30217,9063,12255,14708,9788,26232,86473,30927,12249,14742,4498,46090,2393,78321,3267,9468,5194,10824,22855,53922,3724,5280,77032,1239,69201,3136,12657,6256,12079,4772,7042,13523,5541,13751,10881,4746,5341,6581,14067,16664,25349,1975,3302,3632,5537
164,7948,3240,4916,3475,2560,2583,5739,9734,50942,4841,5778,2135,29854,2556,51305,1754,2895,4946,22019,16172,7923,4770,2667,1538,2229,7193,5035,7338,18370,67398,23844,1535,15495,60773,2427,4368,27636,41367,5226,9027,27884,8530,18655,4797,56663,28734,4634,27389
165,2847,6088,6287,11144,7754,15271,9553,10428,5012,17537,5066,8535,4790,11197,6111,8334,7976,23235,7372,3513,5268,8215,5493,7362,9592,10217,9108,14286,6526,9085,10867,3437,10597,4624,10612,5523,8541,11943,14957,6602,7239,4103,8985,9249,16084,5885,13635,8931
166,14475,10280,8527,10817,12936,10510,2340,10552,8738,16582,6697,5026,10586,9595,7709,5706,11447,5602,6100,8417,5109,12107,8307,11615,16454,10884,6685,4319,13965,13446,4333,9015,9500,7903,11963,8125,6345,10785,15678,9181,12251,10891,9029,6551,18138,4830,4704,11451
167,3806,5754,31736,3030,5600,3805,2279,9691,3349,4715,3722,47946,31722,9031,2465,2119,5858,11238,14291,6994,21831,40608,23714,5674,1626,10602,1123,31387,44009,18958,4416,1396,20748,42465,28824,1096,27432,5108,25917,34582,8617,2876,23951,9753,6944,23442,6723,24979
168,10341,5832,11867,13630,9767,15700,27071,4561,41174,6412,2567,7150,36837,9310,11950,39878,41893,19989,39686,5632,45181,7819,6967,36362,13190,8447,9376,11441,2535,9883,72840,34903,8918,3779,40740,10798,43933,22169,1865,44359,44626,31000,16493,39313,2236,29139,31559,4434
169,6599,5970,3915,27745,4142,5969,2332,6003,5851,53867,5916,7065,8547,2795,31178,3448,2018,8571,4666,7654,6783,8604,4366,13977,33339,5786,10864,4334,5162,12811,5120,7003,26051,50378,5674,11119,27587,1552,4449,7335,4215,1684,48733,36064,2256,30079,3036,56424
170,28255,4192,26822,27282,1946,27447,29476,1073,1150,3368,2775,2503,8648,38779,1483,26458,27749,13351,20121,1788,12502,6068,2560,4669,9822,1286,55717,2647,5441,1784,1362,3794,54239,49043,20516,13235,4416,2959,6243,3320,2989,2672,1190,12771,7862,8203,5761,3643
171,2628,4923,21124,5794,6579,3553,10476,1353,1924,3969,1957,5304,1774,40281,2874,30567,5476,36331,1873,32611,3091,5331,7215,51317,1428,7479,5114,883,17690,1258,17073,3829,8478,40631,4384,5597,10070,16809,27559,1219,8901,16686,6453,2851,33958,10333,1364,5629
172,11035,1636,2631,4947,21642,38472,7768,1715,7300,56886,5022,3854,28910,6009,5848,1220,39938,1254,36356,2778,43667,6344,14750,3244,1770,7061,4248,2884,3478,7017,4492,28112,22350,2621,1843,4490,26870,28762,1848,5573,19937,2618,3724,2046,736,5791,2756,8083
173,1322,7905,5255,7353,11477,38795,11779,7982,3799,10552,17627,8454,14461,7397,6700,6686,5890,19659,15323,10266,8741,6908,7953,6436,7940,7868,11351,12648,12009,4449,3677,7779,4337,5834,5315,6907,18767,13771,10911,4137,3158,11808,7564,12831,5503,12411,12342,9071
174,13338,6673,6025,14712,6734,13583,13884,11307,6652,11647,8778,6532,4089,12097,7052,7588,8098,8381,10050,9437,7301,9280,8242,16475,10373,5727,13694,4369,3910,8818,9374,12742,14063,15482,10645,66801,12081,8195,27051,11128,9954,16393,13987,9384,5276,5688,14251,17348
175,20611,10150,18450,3862,7375,4522,32701,8568,3786,4806,35221,41347,23022,1255,3671,11028,3083,3264,19267,1763,5004,16071,6749,29392,15272,27486,43437,13805,7802,8895,2287,2143,1457,13397,4263,42973,5394,4142,30437,29900,1225,26609,1260,55457,28896,6638,36315,34353
176,48752,6851,11182,7629,23889,9860,8766,5195,10939,6932,11484,4470,4932,9671,9689,12323,7342,12223,7905,15994,14586,12216,5052,7113,24754,4978,20717,17075,10124,11461,12262,6669,9321,19429,7361,10196,7752,10495,11247,2154,11108,5955,4813,12515,16546,5237,9099,11035
177,6295,18319,3845,2392,1933,25995,7597,30740,2700,18110,33484,25130,2845,4040,38960,20057,3303,5827,1437,2151,17542,40456,12206,5141,2262,5757,4211,4893,1854,17112,9763,5161,24860,1908,10170,5733,4976,2849,20071,3284,12280,5748,5621,5781,3427,23827,4686,34998
178,43150,29088,2569,40924,5166,8379,38908,18565,5867,37665,5258,14024,19425,18013,4987,54154,15671,1460,30188,7212,1520,9218,4323,2505,33333,5421,4585,9129,4248,2534,1344,65542,38985,60411,6396,4471,1655,1810,5808,7210,46223,40988,4636,6483,53298,36127,4959,35594
179,15563,10159,4201,3502,1356,9741,3953,1648,70454,2901,11107,4757,3204,53793,30278,12328,2183,9073,17838,11634,5304,48871,26870,44072,4495,4382,6677,10859,36762,10598,26948,37068,4751,3319,9571,62970,5598,2626,56148,64807,13656,9968,4252,2335,8211,6630,24666,2917
180,4348,26442,1348,3755,24298,1300,24573,3915,49109,3638,1884,2044,4265,690,5519,4988,46052,4490,3689,5197,7225,15729,1702,39576,13297,45972,34839,43887,35618,32861,35622,12641,1228,18355,32191,4478,2105,7863,41242,16287,1092,9310,4065,56203,4735,4073,26943,1594
181,2711,6699,7228,19570,8582,9793,15682,18455,9622,19879,24696,3574,7578,15774,4976,5420,7724,6560,6881,3823,13442,10919,6314,7809,5140,4264,4168,10861,8644,9999,11908,8730,8064,2435,4721,3498,15957,32381,10003,14505,9367,2946,15970,21489,8486,8123,21242,25328
182,16197,2765,24542,7915,20843,7849,4990,6955,19577,6398,10480,862,32250,2468,26157,34113,2943,2584,6730,7005,33651,4120,5059,6002,10702,2924,6442,2748,30240,10964,24319,18563,30201,3477,3320,7936,3713,6063,4441,33943,28251,28160,1810,12650,2274,22025,1198,1886
183,5369,16080,3881,3607,7113,8643,23059,38766,5402,2120,14606,4702,5276,4543,11023,9598,21117,4956,2542,3043,3200,3610,1566,6969,3346,12159,20712,32328,16815,8016,22165,7473,3020,2931,3112,43254,42610,14190,2284,23683,4444,21095,2735,4192,6066,6053,6171,20728
184,2160,3145,16817,10405,15960,3789,6425,2716,4654,4999,7190,8218,22508,19862,21131,32389,17102,10035,2806,18523,52890,25167,5350,7672,11795,21633,44468,4480,9745,2714,3997,1548,19040,7583,16713,6044,5277,7795,6231,3699,8584,1292,6392,11762,11844,23546,6188,20223
185,3956,3266,19571,3061,4073,6627,9586,33077,5867,3056,28101,7093,8092,7555,10708,17456,8131,6469,9099,20941,3134,6219,1747,46250,2898,7546,24025,8383,7364,7193,19524,9250,5977,4667,14291,12263,10077,15791,19424,18832,3602,5495,4229,15683,5153,46383,4359,19347
186,11681,8229,4742,24053,5434,26296,8996,1907,7318,1337,21019,14991,4276,31213,3024,6138,17719,2458,30447,32280,1422,4823,5634,4364,14882,30850,12655,12667,18321,2272,5216,1693,17494,32407,11793,5327,3381,21111,12959,16960,23079,12065,1289,3537,7935,36374,4105,4325
187,9737,3563,8518,2213,17309,10291,4671,13837,3431,4282,12319,14132,2811,3821,1526,10235,2895,26594,4072,3474,1627,6746,6389,9140,3420,6926,12759,2825,6991,2974,4444,1975,3315,7516,9413,13717,1781,1933,7957,2644,2219,7826,10800,3124,2623,1530,6023,2332
188,2867,1014,3397,21926,3759,6233,2170,2422,4733,2377,21775,10734,10867,3173,998,23438,5107,20734,27769,2224,11698,5039,5577,4827,2783,6276,14073,2368,1442,1208,6877,8934,7986,1618,5296,11485,3465,4368,4449,25925,7671,9598,4014,14093,7123,12742,6562,32194
189,57251,8256,12645,6715,5182,4677,5528,18455,5117,25657,29045,7786,10599,4827,5414,12501,3915,6547,8558,36423,8368,11704,5601,9513,2768,4684,6988,23700,9159,29681,6523,28610,27076,28664,27918,4385,5511,5366,6020,12135,10645,20400,24951,6455,12688,5162,22817,13955
190,2193,5825,20099,6451,4836,10177,31560,5392,6119,4277,6422,14501,19461,7490,8817,11823,6306,8148,7300,11866,8745,10007,13264,8504,9650,7906,12423,8000,10988,7721,11864,12316,24561,5360,16422,12176,6582,2836,10040,10646,2599,2660,9263,10986,8470,12731,10719,4090
191,7709,16246,2987,4757,3411,35163,6059,8438,11588,9444,26745,6638,6454,2923,2955,20356,13255,6513,1839,33884,3679,2742,26396,16704,33535,36063,18531,21536,4373,32715,5372,13715,38188,35622,21017,9726,40941,31990,5260,36346,3743,11907,21814,9967,19721,22739,8228,10296
192,16493,8228,8128,3689,7329,13710,2509,12714,6468,8800,9831,12295,11031,8246,4270,3854,10593,7473,21123,6278,6506,6694,8107,11186,6270,10415,16926,10264,8980,10203,10407,5036,7546,4991,10369,22403,17294,8848,11563,2862,10085,6683,15092,5596,11662,11248,10282,12995
193,5760,34104,7176,3423,29848,5541,7793,2620,6592,30209,13031,2591,2902,2922,3953,2845,6515,6467,4336,1297,1233,32188,2517,8263,2728,1416,956,3770,22324,16342,7210,2174,26616,26026,15943,8501,29129,4145,3446,2679,9831,17720,1952,4892,27378,2210,1979,1569
194,5508,3697,8276,10181,4692,5310,1464,13348,5052,5126,10264,36289,55595,8359,43711,65675,5985,27919,45299,4044,23761,12663,6187,41653,5400,4833,8842,3992,1509,8250,21510,7981,5797,14026,8886,14674,10811,7454,1752,3435,9401,8447,10946,11476,8676,6435,13768,8985
195,7798,3875,5221,9829,21527,21411,5530,7256,27534,13358,6793,2526,6893,24483,3820,3062,14629,4481,3778,6735,7569,23043,3793,23886,10238,4435,6529,14468,5229,5377,6594,6806,18414,18901,4483,2814,7095,8251,5722,13536,3873,5339,15091,5672,7050,3842,6501,7961
196,46369,5763,39268,46783,42940,4303,4639,5934,19385,13829,9464,14578,7419,7767,4153,8146,7507,8994,3009,4697,51069,25007,23381,36140,51890,3784,16793,22047,36212,22871,3918,33989,6893,43597,2310,23149,28097,38796,18112,29401,16902,5069,2922,3335,45209,11793,33450,21675
197,38851,9296,11501,6199,9071,21459,18939,33548,3142,35491,28454,17947,3144,1678,7391,8975,4513,26431,9108,4021,5444,25872,5859,32116,11624,6751,4215,15714,4825,34181,16220,5436,11265,3013,5465,8820,5372,35041,3399,7456,6140,7674,5426,5595,10978,19986,10574,4651
198,8412,10534,10222,16912,6806,20875,13886,6380,4682,9053,9699,11422,12981,6043,13369,9401,12386,5329,6059,10857,7935,12001,9919,8468,12783,8770,8455,5238,14655,7385,12289,9545,7215,6153,4213,2677,7887,15408,9646,7458,8459,6122,16156,8588,8702,10950,9580,5688
199,12972,5698,7638,37853,12357,3632,7326,9413,22857,21352,24658,1322,7183,7558,3247,1663,2165,23131,2363,39701,3248,36699,19301,5216,21535,2105,46188,39390,28556,5062,878,14768,37019,23630,38962,2348,5051,5372,38918,1559,3229,10954,38261,3101,6244,2091,7157,7185
200,10773,3189,7129,7399,8044,10581,4026,3204,6430,4017,5540,7141,11630,6154,11253,8537,9171,5059,12891,7144,14938,7400,6228,10236,9633,19458,7076,6912,11669,20215,8915,11291,8710,5821,6273,44815,4820,3487,5548,14438,9042,7675,2822,10658,6294,5748,19013,14032
201,4681,2451,7606,5506,4539,5152,29928,5564,4814,33358,6189,12504,1274,7612,7806,6595,48475,6235,1931,42172,3191,9161,34264,7182,6164,2586,33320,6454,8222,3378,5368,2464,39472,3169,7423,6399,5815,24469,7570,39524,3119,32900,7673,3342,5352,23807,40944,5911
202,5163,5135,24893,41778,18737,62945,9335,46086,5515,9660,27878,5663,6318,21260,6463,16007,33532,5100,12118,4232,6145,45215,41791,5051,40030,20376,7201,27827,8826,34020,3409,6102,45255,18197,29765,5600,13740,18017,16973,29036,30560,53162,20417,19611,38195,9135,12591,35367
203,1708,7290,3967,13389,11587,7301,8398,9197,7623,5205,10686,8624,6538,6675,7602,7851,7740,12221,3931,3023,4875,9547,8760,5340,4514,6491,8578,3284,6094,14615,11356,14574,6745,10280,9630,40557,4289,19311,27063,8681,10780,6990,12994,17046,4645,7097,14123,6653
204,7448,11905,10565,4668,27299,7161,13141,10525,8531,5392,12216,19875,3152,28846,6023,7658,8078,3122,6731,6228,18693,4669,26559,49852,5886,21371,8650,6872,2953,13483,3782,6620,23190,3493,7346,14795,4971,6013,7777,4664,9214,7002,6589,7434,6768,17600,6653,11548
205,11190,4494,4502,2238,5216,7287,4679,7752,7665,4712,3197,3582,9823,10425,12858,4244,19402,8855,9536,20806,5349,13922,5131,6529,2807,15635,4720,14280,10123,4858,4434,23321,7495,5472,5558,6050,3030,13708,5173,6970,8737,4969,1813,2789,3540,3479,2998,2946
206,9042,26833,4535,4604,3247,16214,7757,42078,2244,3544,7305,20063,26254,6409,3385,6189,40935,4556,3694,20941,4038,1357,25758,16725,19682,6398,26914,11600,13121,11750,5335,7445,35174,4200,7951,11733,26241,5892,2355,37190,5138,9912,6893,6090,9417,26388,25936,40921
207,9842,3329,1559,16847,21642,4717,9294,7328,2955,1927,8947,5134,11998,8411,4373,11182,1142,28930,2080,11233,8278,1935,23006,27195,6150,3630,1770,5940,5687,32170,6790,4438,165053,10179,3194,5967,141570,4525,4047,5126,1658,87189,2660,5511,1779,6158,7691,4989
208,9379,11308,27164,14958,2503,10849,5961,30132,6933,7710,3580,30061,3636,6781,14976,5407,7626,2865,5415,4617,36940,68408,12525,10297,23141,50894,7433,6962,26395,3261,5639,30258,43772,3447,7810,8177,7454,3154,82575,5577,23947,28330,10914,17039,25874,5989,9024,27088
209,1482,19284,6805,10092,33489,19087,3687,13524,25775,6783,9602,23255,3195,32760,5213,6668,23468,32469,7051,5054,4084,21672,22490,18416,8760,2902,36449,13550,4075,23371,4356,6725,7004,36719,28314,6893,4522,34709,35998,9062,8741,5018,28799,16528,31401,14258,21517,6882
210,6003,2105,4525,2723,32953,15547,1232,42651,2380,16638,35824,19539,31906,39448,15866,2151,34433,17342,6417,40266,11244,3870,39709,6149,5878,21933,5415,41727,10911,24657,2736,3079,7458,8097,51562,8162,7242,17772,7830,35928,2492,3129,3453,19919,11270,35719,15651,16228
211,11910,20568,6591,8567,2038,19051,5919,54101,7247,7439,21138,17606,23010,20289,5734,3156,9563,8108,25539,58303,5900,8726,7666,7529,6288,17524,4354,35331,17408,42593,8193,3665,5756,4392,2045,18423,8816,41672,23869,3258,14871,5585,39908,9369,14406,32318,4788,8286
212,12399,8619,20809,3917,11110,16382,6480,30449,7000,5340,32110,8048,35861,16935,6664,3398,12025,9372,7319,6683,6660,4942,23828,2377,8133,4308,15128,10542,2933,3589,3981,6942,49734,1560,2885,4391,11031,7610,7846,2894,1786,6666,3185,2870,6612,1000,1215,3356
213,33214,3632,2975,5357,39394,2933,4439,13104,4405,6085,8108,23390,4241,2185,4325,4095,5961,31553,3605,18357,5177,13299,37013,7609,5665,25342,7606,14801,17074,33630,13137,7103,4883,9687,6768,7590,11642,4766,14932,32460,4471,7285,5396,7227,10986,7772,3102,5129
214,3795,108502,5594,53552,14583,19556,3355,4432,29148,32963,40575,81352,2550,6270,3463,4808,34712,4069,87030,4737,35582,79546,5368,53728,5059,19648,7874,28559,13273,5883,9010,8722,7884,10810,1665,24548,59705,19987,126863,27153,7455,5628,1447,47629,23185,4722,23729,27738
215,9901,1581,2045,28770,21128,4769,25911,5124,46994,4986,5059,8992,39851,32418,3322,39785,21799,2585,37233,3919,9692,4188,43551,4918,1470,42846,38494,9525,5690,25014,5633,5709,8954,40856,5794,6125,13436,3304,6152,3080,21933,10542,13172,8425,58746,1113,9012,4652
216,1011,16736,5986,4023,44908,4667,21339,7850,4427,7087,4019,6194,8299,3284,5346,7721,33968,9041,3582,2382,9424,5566,31054,6984,30526,1571,5718,1188,10889,1942,9405,34049,37149,27389,2857,33315,32281,2962,9324,31120,15441,3630,4725,2225,30643,2079,3740,3157
217,13880,6489,9037,7230,7777,15825,7188,10758,8920,6511,12691,6392,6468,6986,6390,11342,5936,6116,16344,10192,18007,9230,10187,6640,7355,5712,12331,7502,8045,8848,6448,6421,5345,6880,13453,9889,6972,6460,12327,5363,5416,11579,6996,12488,6378,6928,6964,12273
218,5428,13437,8300,7653,2886,3433,29433,1043,32482,4826,7427,7679,3661,4439,4203,5511,7502,6992,6410,16396,5693,13759,10187,5217,2580,2324,4575,9685,12616,13549,1948,2151,30399,10541,1287,6592,61035,4303,9911,1962,3347,11833,1730,7502,2026,5683,890,11384
219,3924,4005,5786,11917,8593,4589,23049,3237,7072,4149,26934,6540,29537,12308,5997,18214,26546,35420,13369,20906,22459,5114,16300,4362,7774,6682,8130,4120,23903,3647,53813,7393,2166,10789,7420,3522,6969,5007,26479,10446,48468,4264,3082,13838,6075,22150,2068,11767
220,11098,9645,15557,5434,26982,7013,6182,4948,15794,4880,16765,18566,4881,4503,28172,3987,9902,18003,5891,12021,10576,18056,18561,17695,7479,3624,36662,22900,4022,6039,9622,7211,56104,5711,36587,4790,5495,6313,13637,18137,3923,7637,4758,40131,9954,6305,15797,13601
221,5189,3760,80504,2702,8515,4806,4305,5906,4524,26027,2702,63250,2592,19847,1774,818,6968,3377,31049,2154,47920,4246,6702,1138,1063,90319,2084,2438,3236,3502,9206,5007,6273,3150,13319,11159,8191,2507,42953,27921,5296,2983,3795,6227,40095,2505,22295,3050
222,24220,10047,7980,5591,9707,6165,21033,7992,11408,7383,6857,6646,5054,2674,7528,12312,12170,6552,5049,7559,3475,9482,25033,7171,5453,3771,9678,8578,11891,10266,8760,7156,6032,10494,9704,16591,7414,12527,2842,22645,10160,10510,4031,7041,7422,11745,8525,9130
223,6914,16134,4681,8957,6310,9331,27076,4782,13083,10521,5443,14831,17003,9326,27839,5113,4447,6985,4376,11928,41590,7555,3002,4728,3716,7186,17279,18425,20017,3645,6168,12143,4354,11234,2191,2110,9598,10428,3430,7069,10491,10765,7914,10827,14414,3319,8144,10032
224,29305,14442,14814,15785,10317,4008,1810,5559,7234,3428,4296,8971,2681,9319,6699,3894,8020,10689,6124,5539,15169,13703,8247,8524,17479,14353,8842,15847,10546,10860,13207,8387,6688,16847,3901,6543,7476,7274,5823,6027,6172,7879,8932,7983,19018,7156,7331,9284
225,2437,7949,12005,20007,11938,17874,12924,4208,8464,37643,5546,5015,28259,6233,16158,4121,11329,14675,17471,7511,6104,22797,8377,10025,29498,7628,3119,28821,12148,30206,34551,2521,14807,3240,4965,10547,4218,26209,1457,4084,43146,1562,11808,16891,31830,7049,8571,3997
226,6869,14529,6929,11868,6166,13256,7733,16486,10297,9404,6396,1882,1770,10259,6107,1630,45432,10872,45296,10840,53049,50188,6741,19769,6971,1020,47756,3544,5207,10438,30562,1115,4885,3761,6990,9692,6138,3391,5128,17948,6153,25418,34888,1953,25558,3716,11666,10435
227,8661,1426,5602,22273,5310,25637,23449,5183,1159,40864,33950,5096,40112,1598,6763,29878,5203,1803,15605,5028,19508,11193,4164,22140,2677,19992,2178,1975,8382,30901,4073,9101,25789,2416,16742,23073,25056,17599,7284,30224,22154,17336,32522,4215,15847,24834,4178,18803
228,13784,3799,42192,40624,57523,5447,10912,2108,13937,6758,14422,10229,12778,29218,30935,35207,3695,3840,30655,14007,10840,13223,6600,35447,20507,29738,35099,20032,7714,4029,24248,3764,9408,43392,35550,4791,19491,31840,25268,38620,5914,9486,34941,3161,10557,25590,17160,20269
229,9574,5288,8463,8563,10306,6938,6026,4799,21854,8066,10018,9126,4716,10194,8864,10350,6680,7203,9744,3829,9099,9563,10345,8923,15862,5919,8762,16807,6062,3869,4454,29486,10545,5466,13145,7846,4818,7108,24454,14411,18746,8317,3680,2507,6032,7775,31475,11633
230,5622,6306,3240,28605,1282,2031,15337,51132,6413,13149,3662,19970,5417,7838,5536,37136,6812,25897,14779,4074,5651,4860,1804,2450,2013,13142,57365,4449,4951,34067,6566,6915,2085,43602,22337,39593,3240,11908,2840,5509,22799,7437,33939,3826,9978,4238,16101,4513
231,8778,7228,6645,3783,26796,40239,52949,7553,1233,30868,23679,24787,9511,28921,3008,3998,19122,20376,21503,37095,63648,38097,19798,19671,2041,18732,21448,6424,18827,28036,24469,43791,13443,47256,51838,3476,24682,23518,18563,49557,3945,3389,12223,25865,10132,12080,5390,6594
232,5247,12016,10506,2324,6310,4061,5269,8802,3204,7541,5287,14264,7903,7592,6312,11511,8405,12437,12609,6932,4248,3306,3722,16148,7835,14591,2965,29034,10287,17672,26496,5886,43316,7565,6663,9867,57113,1625,15359,5646,4620,16090,10284,21617,9553,1839,2051,9920
233,9543,6110,9007,3407,2845,2721,22260,5556,4990,5910,10988,7243,20023,5724,7627,27597,3168,4457,4914,6535,25755,2096,28672,5076,5356,42434,37039,6467,2517,23020,24711,4663,5416,5810,56252,65081,6365,22288,4759,31967,1970,5026,4495,4296,40414,6086,5010,7559
234,34366,9097,11780,31343,11554,9015,8849,31338,17033,9745,31386,9656,10629,8381,11766,8167,4135,9299,8677,30674,9232,8290,7089,7955,12175,3086,17494,2872,7576,8784,6339,8176,2953,14937,3207,4101,3061,16617,8281,9914,10288,8621,37437,8111,5505,21783,7219,11796
235,8280,1561,1773,4312,12265,2660,10327,24850,3908,25226,4328,6569,2469,22624,2161,2510,2566,42554,26428,4992,3887,7913,44726,2592,19254,48158,48157,6399,35323,31352,25446,1919,24005,15471,21153,7081,5049,10271,6747,9798,2007,5499,6442,2593,7465,8074,4771,12733
236,5653,5424,9574,26025,4419,32803,8242,11731,45762,7474,4328,9349,3440,47795,13948,9035,47684,7670,5044,53224,10837,1937,45267,3459,2829,6623,5644,11504,9103,56584,36074,22393,4355,14723,3213,1867,21870,5392,12525,56345,31940,38731,7783,10904,38874,9815,7709,4547
237,2562,9521,6838,8582,22426,8242,23939,12332,38453,20777,15259,18249,12479,34239,8233,5311,10299,31321,22780,9899,30409,11051,8962,6221,6068,15531,11150,8962,6063,5332,4369,18082,45213,15588,32059,14210,51314,8583,7169,16578,15243,7540,26869,3342,8681,10268,27218,4316
238,2749,13624,6351,10609,8672,8524,8000,3773,6307,9841,10406,6114,4504,5000,4922,8342,6485,1167,4568,11322,37582,5198,7210,3497,5259,5151,8853,10748,5808,12523,7567,3862,7451,14771,8793,39501,6971,7711,9046,9737,6085,12829,9645,7828,4302,5877,11234,4651
239,1722,11465,5193,6899,13548,20767,10433,11021,13009,8197,5548,6703,6010,4873,5383,6730,14316,8362,10568,8377,6332,11567,3387,7375,8019,3411,7095,9646,8886,8288,8260,16121,5956,5854,14136,3751,14523,6904,12480,3835,9210,5518,5532,7695,14627,2762,12647,10322
240,1495,11541,4025,26070,14851,19775,9652,6086,15819,16339,6689,11951,10104,9385,7599,8229,6990,4540,5311,1673,8856,6055,5533,4456,9859,2538,15387,3436,7918,23252,18371,13579,14721,8586,23873,5800,10291,4965,9999,12718,13987,4206,7213,2180,11442,26452,6367,4472
